mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_20,mfccs_21,mfccs_22,mfccs_23,mfccs_24,mfccs_25,mfccs_26,mfccs_27,mfccs_28,mfccs_29,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,source,label
-385.41965,76.994606,-34.789436,5.049789,20.212645,26.811825,-6.288021,-6.444167,4.2185287,7.41264,8.287823,1.6399544,-8.280286,1.5353314,-1.7214195,-2.9893227,1.2845497,0.46118718,-0.47919187,-8.586492,-3.0998447,-2.0395458,3.4898217,-3.3928957,-2.777534,-0.24781275,-4.3575764,-3.8475187,-3.6211138,-1.3193996,1253.004664577199,1097.7219056502288,1770.07908462789,0.4036707,HMRS_Scam.mp3,0
-380.79572,60.32231,-15.56305,17.177668,20.079456,23.214802,2.3820171,2.3511283,3.974874,7.179327,5.2343607,4.752395,-3.979287,-2.3771799,-1.4870602,-3.4982939,-2.013556,0.119116284,-0.35948974,-9.801847,-4.8521543,-1.5670801,2.499805,-4.989097,-3.1360333,-0.1163075,-3.3384554,-2.7030377,-3.504193,0.13252912,1518.1899398861385,1641.9606659349126,2710.6942061054915,0.43893623,HMRS_Scam.mp3,0
-223.81387,145.39516,-60.34394,14.475909,42.705498,48.397533,-7.9933743,-0.59079564,15.642398,8.080495,15.594069,8.839162,-15.810491,-4.0814757,-3.997758,-3.3345442,0.7989864,2.4940176,-1.622319,-18.266462,-6.117755,-2.697774,4.6650233,-9.325149,-4.897595,-1.0237067,-10.647317,-7.571058,-4.4212413,0.96556973,2044.3045907633311,2171.851292242142,3400.752461163295,0.44370428,HMRS_Scam.mp3,0
-183.54633,169.99083,-61.952103,6.5815897,29.604006,32.180344,-12.641335,-1.1488273,12.81226,6.915977,10.551759,5.016367,-15.403358,-2.4734013,-5.0701947,-3.3726747,2.3616247,0.121473595,-2.658291,-17.510124,-7.18454,-5.8715243,4.3457894,-6.872379,-4.7338467,-1.5719287,-10.275984,-7.040355,-5.8557057,1.2247411,1854.2817118072549,1970.4325193725497,2872.62887238078,0.46083927,HMRS_Scam.mp3,0
-393.71243,71.19148,-28.363874,8.796464,15.707998,26.243513,-0.26226956,-4.4596415,0.13549924,9.036365,9.192344,4.7400737,-4.733227,1.1610274,0.03691207,-2.6117861,1.2274542,0.51152563,-0.48717287,-7.811981,-4.3212056,-3.2899113,2.7375104,-3.045106,-2.5658278,-2.9836168,-4.560945,-2.4861186,-2.3617804,-0.21431255,1196.215393177907,1317.2919793175608,1994.497380780347,0.42821792,HMRS_Scam.mp3,0
-1124.9792,-0.25393906,0.13807528,-0.0661547,0.26217428,-0.032689735,-0.019859528,0.104199536,0.039783645,-0.03310935,0.010026236,0.12667722,-0.014411306,0.032445002,-0.02039028,0.050975274,-0.047852237,0.022885224,0.0755829,0.06747982,-0.003699253,-0.1504115,-0.08177943,0.010669058,-0.029296072,-0.009634918,0.06981821,-0.100125305,-0.00071493944,0.08586587,203.22849465634027,93.75393437066471,303.45635386560696,0.00078847306,HMRS_Scam.mp3,0
-194.70845,166.74352,-77.35839,8.8485365,37.67878,41.54438,-15.899369,3.7875946,17.735502,3.4639626,9.159451,12.0309,-19.095074,-4.5200853,-2.930705,-1.8905509,-0.4314371,1.540645,5.0104704,-17.0844,-6.6801805,-6.133327,8.639852,-10.109374,-6.98216,-1.2693894,-9.693339,-5.2287087,-10.15738,-0.74794406,2071.1503469714335,1922.8840055492756,3062.818088421243,0.41037333,HMRS_Scam.mp3,0
-177.89001,173.28561,-73.10014,7.167033,36.38094,42.112778,-13.177738,-6.85478,8.29549,7.4172773,12.383745,8.377269,-17.477873,0.52290714,0.6694564,-5.225415,-4.1541753,0.8217941,6.2234344,-16.150244,-11.283294,-9.458016,3.6460395,-9.115205,-3.219289,0.7577415,-9.482571,-10.03471,-10.896226,3.318855,1922.5909783773243,1815.1711971430907,2840.142363619942,0.4195187,HMRS_Scam.mp3,0
-381.35626,74.7793,-36.25722,8.484023,23.82847,28.625547,-1.9898287,-2.4108372,4.6603503,3.9199662,6.297337,4.537989,-9.921599,-2.7583532,0.8748737,0.25392714,-4.824801,-4.2131567,3.9925175,-5.314044,-5.794329,-7.2480097,2.1379743,-2.4941695,-2.2504625,0.16384721,-2.3258793,-1.8149005,-5.3905826,1.3107778,1210.6718303847283,1162.7406384669664,1829.0775718027458,0.4224282,HMRS_Scam.mp3,0
-424.33978,62.574017,-15.244063,9.192512,15.170769,20.99738,3.471634,5.7137084,5.2339554,8.339247,10.284773,10.029442,-1.4052835,3.128805,3.1927826,-0.5755751,-5.4084344,-1.2182982,4.4365554,-9.356281,-7.059379,-5.822447,2.711573,-3.111895,-1.1304878,0.54063916,-5.271454,-3.2636976,-3.714111,1.826098,1096.8510767646221,1545.488848379196,2091.832437680636,0.41345656,HMRS_Scam.mp3,0
-218.60175,160.91722,-60.040215,5.7356644,34.273296,38.319523,-11.796007,4.3049893,13.520894,9.538857,14.30587,14.01654,-12.374548,2.2009225,4.638025,-1.6956196,-9.793595,-1.5357019,8.668247,-17.077044,-13.596804,-14.002557,7.1368074,-4.1745353,-1.5987513,-1.013806,-12.492991,-6.853164,-7.996553,3.4316185,1959.1277985623815,2148.204096257924,3065.8053535946533,0.4399358,HMRS_Scam.mp3,0
-215.71613,155.30853,-26.370745,20.560518,31.361881,29.006683,-3.705106,2.4044735,13.833855,12.977636,6.921312,4.359594,-7.9164505,1.678513,1.4321455,-7.4810305,-8.116634,-0.82451653,4.929526,-15.292757,-14.511826,-9.95263,-1.722314,-5.786665,-0.99088645,0.19301724,-6.8471837,-7.171899,-7.6502185,2.030482,1744.620043141109,2419.748097743704,3250.2689780527458,0.49675912,HMRS_Scam.mp3,0
